"CO2","Country of birth/nationality","VAR","Variable","GEN","Gender","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"AFG","Afghanistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3463,,
"ALB","Albania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",123,,
"DZA","Algeria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",22,,
"AND","Andorra","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"AGO","Angola","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"ATG","Antigua and Barbuda","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"ARG","Argentina","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",387,,
"ARM","Armenia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",8,,
"AUT","Austria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",142,,
"AZE","Azerbaijan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",24,,
"BHS","Bahamas","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"BHR","Bahrain","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"BGD","Bangladesh","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1444,,
"BRB","Barbados","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"BLR","Belarus","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",68,,
"BEL","Belgium","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",117,,
"BLZ","Belize","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"BEN","Benin","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"BMU","Bermuda","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"BTN","Bhutan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"BOL","Bolivia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",9,,
"BIH","Bosnia and Herzegovina","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",189,,
"BWA","Botswana","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",19,,
"BRA","Brazil","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",460,,
"BRN","Brunei Darussalam","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",47,,
"BGR","Bulgaria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",114,,
"BFA","Burkina Faso","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"BDI","Burundi","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",98,,
"KHM","Cambodia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",610,,
"CMR","Cameroon","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5,,
"CAN","Canada","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1470,,
"CPV","Cape Verde","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"CAF","Central African Republic","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"TCD","Chad","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"CHL","Chile","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",195,,
"CHN","China","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",15193,,
"COL","Colombia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",405,,
"COM","Comoros","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"COG","Congo","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",196,,
"COK","Cook Islands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"CRI","Costa Rica","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"CIV","Côte d'Ivoire","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"HRV","Croatia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",157,,
"CUB","Cuba","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",18,,
"CYP","Cyprus","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",12,,
"CZE","Czech Republic","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",179,,
"COD","Democratic Republic of the Congo","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"DNK","Denmark","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",174,,
"DJI","Djibouti","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"DMA","Dominica","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"DOM","Dominican Republic","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5,,
"ECU","Ecuador","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",49,,
"EGY","Egypt","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",563,,
"SLV","El Salvador","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",27,,
"ERI","Eritrea","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",185,,
"EST","Estonia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",12,,
"ETH","Ethiopia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",615,,
"FJI","Fiji","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1794,,
"FIN","Finland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",103,,
"CSK","Former Czechoslovakia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"SUN","Former USSR","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5,,
"FRA","France","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",691,,
"GAB","Gabon","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"GMB","Gambia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"GEO","Georgia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",13,,
"DEU","Germany","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1422,,
"GHA","Ghana","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",143,,
"GRC","Greece","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",123,,
"GRD","Grenada","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"GTM","Guatemala","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"GIN","Guinea","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",8,,
"GNB","Guinea-Bissau","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"GUY","Guyana","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"HTI","Haiti","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"HND","Honduras","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"HKG","Hong Kong, China","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1470,,
"HUN","Hungary","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",177,,
"ISL","Iceland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"IND","India","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",12788,,
"IDN","Indonesia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3841,,
"IRN","Iran","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",987,,
"IRQ","Iraq","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3310,,
"IRL","Ireland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1621,,
"ISR","Israel","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",636,,
"ITA","Italy","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",493,,
"JAM","Jamaica","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",22,,
"JPN","Japan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1818,,
"JOR","Jordan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",369,,
"KAZ","Kazakhstan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",49,,
"KEN","Kenya","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",458,,
"KIR","Kiribati","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5,,
"KOR","Korea","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3527,,
"KWT","Kuwait","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",12,,
"KGZ","Kyrgyzstan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",38,,
"LAO","Laos","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",143,,
"LVA","Latvia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",49,,
"LBN","Lebanon","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1432,,
"LSO","Lesotho","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"LBR","Liberia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1087,,
"LBY","Libya","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"LIE","Liechtenstein","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"LTU","Lithuania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",44,,
"LUX","Luxembourg","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MAC","Macau","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",30,,
"MKD","North Macedonia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",314,,
"MDG","Madagascar","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"MWI","Malawi","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"MYS","Malaysia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4713,,
"MDV","Maldives","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",27,,
"MLI","Mali","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"MLT","Malta","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",94,,
"MHL","Marshall Islands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MRT","Mauritania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"MUS","Mauritius","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",411,,
"MEX","Mexico","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",109,,
"FSM","Micronesia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"MDA","Moldova","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",30,,
"MCO","Monaco","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MNG","Mongolia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",19,,
"MNE","Montenegro","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MAR","Morocco","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",36,,
"MOZ","Mozambique","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",9,,
"MMR","Myanmar","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",500,,
"NAM","Namibia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",37,,
"NRU","Nauru","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",15,,
"NPL","Nepal","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",596,,
"NLD","Netherlands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",796,,
"NZL","New Zealand","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",22379,,
"NIC","Nicaragua","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"NER","Niger","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"NGA","Nigeria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",192,,
"NOR","Norway","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",147,,
"OMN","Oman","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",8,,
"PAK","Pakistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1714,,
"PLW","Palau","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"PSE","West Bank and Gaza Strip","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"PAN","Panama","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"PNG","Papua New Guinea","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",199,,
"PRY","Paraguay","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"PER","Peru","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",227,,
"PHL","Philippines","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4766,,
"POL","Poland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",491,,
"PRT","Portugal","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",188,,
"QAT","Qatar","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"ROU","Romania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",277,,
"RUS","Russia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",901,,
"RWA","Rwanda","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",25,,
"KNA","Saint Kitts and Nevis","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"LCA","Saint Lucia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"VCT","Saint Vincent and the Grenadines","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"WSM","Samoa","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",59,,
"SMR","San Marino","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"STP","Sao Tome and Principe","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"SAU","Saudi Arabia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",15,,
"SEN","Senegal","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"SCG","Serbia and Montenegro","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",354,,
"SYC","Seychelles","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",29,,
"SLE","Sierra Leone","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",634,,
"SRB","Serbia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"SGP","Singapore","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4077,,
"SVK","Slovak Republic","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",170,,
"SVN","Slovenia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",21,,
"SLB","Solomon Islands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",73,,
"SOM","Somalia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",183,,
"ZAF","South Africa","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5704,,
"ESP","Spain","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",135,,
"LKA","Sri Lanka","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2978,,
"SDN","Sudan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3739,,
"SUR","Suriname","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"SWZ","Swaziland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"SWE","Sweden","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",399,,
"CHE","Switzerland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",266,,
"SYR","Syria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",245,,
"TWN","Chinese Taipei","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1215,,
"TJK","Tajikistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"TZA","Tanzania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",33,,
"THA","Thailand","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1706,,
"TLS","Timor-Leste","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",114,,
"TGO","Togo","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"TON","Tonga","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",167,,
"TTO","Trinidad and Tobago","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",19,,
"TUN","Tunisia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"TUR","Turkey","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",707,,
"TKM","Turkmenistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"TUV","Tuvalu","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"UGA","Uganda","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",45,,
"UKR","Ukraine","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",366,,
"ARE","United Arab Emirates","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"GBR","United Kingdom","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",26197,,
"USA","United States","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3004,,
"URY","Uruguay","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",59,,
"UZB","Uzbekistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",60,,
"VUT","Vanuatu","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",22,,
"VEN","Venezuela","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",153,,
"VNM","Viet Nam","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2510,,
"YEM","Yemen","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",10,,
"ZMB","Zambia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",61,,
"ZWE","Zimbabwe","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1241,,
"TOT","Total","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",161734,,
"NS","Not stated","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",281,,
"YYY","Stateless","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3971,,
